"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:04,8020440","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8021261","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2628","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2628"
"16:53:04,8021629","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8023268","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8024047","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2629","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2629"
"16:53:04,8024397","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8025990","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8026746","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2630","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2630"
"16:53:04,8027089","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8028666","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8029417","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2631","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2631"
"16:53:04,8029760","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8031327","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8032080","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2632","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2632"
"16:53:04,8032420","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8034133","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
